,MAE,RMSE,R,Lag
2017/18_133,10.075,17.348,0.797,23.0
2014/15_134,1.584,2.378,0.937,-1.0
2015/16_134,2.482,3.373,0.88,-59.0
2016/17_134,1.477,2.052,0.913,-18.0
2017/18_134,3.775,5.114,0.978,5.0
2014/15_135,1.49,2.22,0.939,-1.0
2015/16_135,2.337,3.965,0.885,24.0
2016/17_135,1.527,2.049,0.915,-18.0
2017/18_135,3.396,5.343,0.967,16.0
2014/15_136,1.59,2.31,0.926,-1.0
2015/16_136,2.357,3.472,0.882,-60.0
2016/17_136,1.432,2.002,0.923,-19.0
2017/18_136,3.188,4.628,0.977,15.0
2014/15_137,5.256,7.547,0.855,6.0
2015/16_137,3.023,5.072,0.831,12.0
2016/17_137,2.573,3.931,0.845,-12.0
2017/18_137,5.774,7.749,0.9,17.0
2014/15_138,1.604,2.32,0.932,-1.0
2015/16_138,2.463,3.592,0.863,-60.0
2016/17_138,1.454,2.082,0.911,-18.0
2017/18_138,3.328,4.601,0.974,5.0
2014/15_139,1.496,2.332,0.933,-1.0
2015/16_139,2.329,3.426,0.877,24.0
2016/17_139,1.339,1.833,0.935,-18.0
2017/18_139,3.572,5.588,0.969,15.0
2014/15_140,1.413,2.106,0.94,-1.0
2015/16_140,2.336,3.791,0.892,24.0
2016/17_140,1.361,1.811,0.933,-18.0
2017/18_140,3.156,4.427,0.977,15.0
2014/15_141,3.081,4.737,0.903,-1.0
2015/16_141,4.339,6.805,0.831,9.0
2016/17_141,2.334,3.556,0.877,-11.0
2017/18_141,5.497,9.774,0.931,11.0
2014/15_142,1.539,2.19,0.936,-1.0
2015/16_142,2.256,3.906,0.898,-55.0
2016/17_142,1.63,2.2,0.899,-18.0
2017/18_142,3.569,4.899,0.975,5.0
2014/15_143,1.459,2.198,0.934,-1.0
2015/16_143,2.24,3.461,0.894,24.0
2016/17_143,1.512,2.113,0.913,-18.0
2017/18_143,3.142,4.634,0.975,15.0
2014/15_144,1.497,2.212,0.932,-1.0
2015/16_144,2.245,3.416,0.887,-60.0
2016/17_144,1.447,1.955,0.927,-19.0
2017/18_144,3.314,4.985,0.976,7.0
2014/15_145,7.686,9.825,-0.341,104.0
2015/16_145,3.78,5.926,0.898,9.0
2016/17_145,3.297,4.649,0.873,-11.0
2017/18_145,7.005,13.098,0.798,19.0
2014/15_146,1.85,2.747,0.927,-1.0
2015/16_146,2.502,3.846,0.874,-60.0
2016/17_146,1.451,2.042,0.914,-19.0
2017/18_146,3.688,5.398,0.975,5.0
2014/15_147,1.573,2.307,0.928,-1.0
2015/16_147,2.343,3.368,0.879,-60.0
2016/17_147,1.54,2.144,0.915,-19.0
2017/18_147,3.564,5.439,0.969,5.0
2014/15_148,1.516,2.323,0.928,-1.0
